"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3610334035,"Somerset County, New Jersey","Suffolk County, New York",4,+/-5
C4300US3610334039,"Union County, New Jersey","Suffolk County, New York",260,+/-183
C4300US3610334041,"Warren County, New Jersey","Suffolk County, New York",15,+/-22
C4300US3610336001,"Albany County, New York","Suffolk County, New York",40,+/-46
C4300US3610336005,"Bronx County, New York","Suffolk County, New York","2,675",+/-494
C4300US3610336021,"Columbia County, New York","Suffolk County, New York",15,+/-16
C4300US3610336027,"Dutchess County, New York","Suffolk County, New York",40,+/-35
C4300US3610336029,"Erie County, New York","Suffolk County, New York",10,+/-23
C4300US3610336041,"Hamilton County, New York","Suffolk County, New York",4,+/-2
C4300US3610336047,"Kings County, New York","Suffolk County, New York","11,585",+/-960
C4300US3610336051,"Livingston County, New York","Suffolk County, New York",15,+/-23
C4300US3610336055,"Monroe County, New York","Suffolk County, New York",85,+/-101
C4300US3610336059,"Nassau County, New York","Suffolk County, New York","83,825","+/-2,256"
C4300US3610336061,"New York County, New York","Suffolk County, New York","42,410","+/-1,656"
C4300US3610336063,"Niagara County, New York","Suffolk County, New York",45,+/-72
C4300US3610336067,"Onondaga County, New York","Suffolk County, New York",20,+/-31
C4300US3610336069,"Ontario County, New York","Suffolk County, New York",30,+/-39
C4300US3610336071,"Orange County, New York","Suffolk County, New York",75,+/-46
C4300US3610336077,"Otsego County, New York","Suffolk County, New York",10,+/-17
C4300US3610336079,"Putnam County, New York","Suffolk County, New York",10,+/-24
C4300US3610336081,"Queens County, New York","Suffolk County, New York","23,515","+/-1,262"
C4300US3610336083,"Rensselaer County, New York","Suffolk County, New York",280,+/-155
C4300US3610336085,"Richmond County, New York","Suffolk County, New York",485,+/-137
C4300US3610336087,"Rockland County, New York","Suffolk County, New York",65,+/-45
C4300US3610336089,"St. Lawrence County, New York","Suffolk County, New York",25,+/-31
C4300US3610336103,"Suffolk County, New York","Suffolk County, New York","588,975","+/-4,646"
C4300US3610336105,"Sullivan County, New York","Suffolk County, New York",15,+/-23
C4300US3610336111,"Ulster County, New York","Suffolk County, New York",4,+/-15
C4300US3610336115,"Washington County, New York","Suffolk County, New York",25,+/-38
C4300US3610336119,"Westchester County, New York","Suffolk County, New York","1,460",+/-306
C4300US3610336121,"Wyoming County, New York","Suffolk County, New York",35,+/-36
C4300US3610534003,"Bergen County, New Jersey","Sullivan County, New York",120,+/-87
C4300US3610534013,"Essex County, New Jersey","Sullivan County, New York",10,+/-13
C4300US3610534017,"Hudson County, New Jersey","Sullivan County, New York",65,+/-46
C4300US3610534027,"Morris County, New Jersey","Sullivan County, New York",55,+/-37
C4300US3610534031,"Passaic County, New Jersey","Sullivan County, New York",50,+/-38
C4300US3610534037,"Sussex County, New Jersey","Sullivan County, New York",4,+/-11
C4300US3610534039,"Union County, New Jersey","Sullivan County, New York",65,+/-92
C4300US3610534041,"Warren County, New Jersey","Sullivan County, New York",4,+/-5
C4300US3610536001,"Albany County, New York","Sullivan County, New York",50,+/-54
C4300US3610536003,"Allegany County, New York","Sullivan County, New York",4,+/-30
C4300US3610536005,"Bronx County, New York","Sullivan County, New York",210,+/-115
C4300US3610536025,"Delaware County, New York","Sullivan County, New York",60,+/-45
C4300US3610536027,"Dutchess County, New York","Sullivan County, New York",175,+/-85
C4300US3610536047,"Kings County, New York","Sullivan County, New York",315,+/-120
C4300US3610536053,"Madison County, New York","Sullivan County, New York",10,+/-24
C4300US3610536059,"Nassau County, New York","Sullivan County, New York",75,+/-58
C4300US3610536061,"New York County, New York","Sullivan County, New York",740,+/-174
C4300US3610536067,"Onondaga County, New York","Sullivan County, New York",10,+/-20
C4300US3610536071,"Orange County, New York","Sullivan County, New York","5,540",+/-555
C4300US3610536077,"Otsego County, New York","Sullivan County, New York",10,+/-15
C4300US3610536079,"Putnam County, New York","Sullivan County, New York",20,+/-19
C4300US3610536081,"Queens County, New York","Sullivan County, New York",190,+/-102
C4300US3610536085,"Richmond County, New York","Sullivan County, New York",125,+/-149
C4300US3610536087,"Rockland County, New York","Sullivan County, New York",340,+/-142
C4300US3610536093,"Schenectady County, New York","Sullivan County, New York",4,+/-7
C4300US3610536103,"Suffolk County, New York","Sullivan County, New York",45,+/-54
C4300US3610536105,"Sullivan County, New York","Sullivan County, New York","22,065",+/-970
C4300US3610536111,"Ulster County, New York","Sullivan County, New York",790,+/-227
C4300US3610536117,"Wayne County, New York","Sullivan County, New York",4,+/-11
C4300US3610536119,"Westchester County, New York","Sullivan County, New York",145,+/-74
C4300US3610734003,"Bergen County, New Jersey","Tioga County, New York",4,+/-27
C4300US3610736001,"Albany County, New York","Tioga County, New York",15,+/-25
C4300US3610736003,"Allegany County, New York","Tioga County, New York",10,+/-17
C4300US3610736007,"Broome County, New York","Tioga County, New York","6,020",+/-459
C4300US3610736011,"Cayuga County, New York","Tioga County, New York",10,+/-18
C4300US3610736015,"Chemung County, New York","Tioga County, New York",860,+/-205
C4300US3610736017,"Chenango County, New York","Tioga County, New York",75,+/-66
C4300US3610736023,"Cortland County, New York","Tioga County, New York",115,+/-51
C4300US3610736029,"Erie County, New York","Tioga County, New York",20,+/-33
C4300US3610736055,"Monroe County, New York","Tioga County, New York",20,+/-25
C4300US3610736061,"New York County, New York","Tioga County, New York",10,+/-20
C4300US3610736065,"Oneida County, New York","Tioga County, New York",30,+/-37
C4300US3610736067,"Onondaga County, New York","Tioga County, New York",25,+/-23
C4300US3610736081,"Queens County, New York","Tioga County, New York",10,+/-13
C4300US3610736097,"Schuyler County, New York","Tioga County, New York",135,+/-107
C4300US3610736099,"Seneca County, New York","Tioga County, New York",4,+/-11
C4300US3610736101,"Steuben County, New York","Tioga County, New York",100,+/-67
C4300US3610736103,"Suffolk County, New York","Tioga County, New York",45,+/-47
C4300US3610736105,"Sullivan County, New York","Tioga County, New York",55,+/-58
C4300US3610736107,"Tioga County, New York","Tioga County, New York","9,940",+/-497
C4300US3610736109,"Tompkins County, New York","Tioga County, New York","2,995",+/-356
C4300US3610736123,"Yates County, New York","Tioga County, New York",10,+/-19
C4300US3610936005,"Bronx County, New York","Tompkins County, New York",15,+/-16
C4300US3610936007,"Broome County, New York","Tompkins County, New York",205,+/-89
C4300US3610936011,"Cayuga County, New York","Tompkins County, New York",330,+/-136
C4300US3610936013,"Chautauqua County, New York","Tompkins County, New York",10,+/-14
C4300US3610936015,"Chemung County, New York","Tompkins County, New York",485,+/-164
C4300US3610936017,"Chenango County, New York","Tompkins County, New York",145,+/-146
C4300US3610936023,"Cortland County, New York","Tompkins County, New York","1,410",+/-248
C4300US3610936027,"Dutchess County, New York","Tompkins County, New York",35,+/-55
C4300US3610936049,"Lewis County, New York","Tompkins County, New York",4,+/-13
C4300US3610936053,"Madison County, New York","Tompkins County, New York",4,+/-5
C4300US3610936055,"Monroe County, New York","Tompkins County, New York",20,+/-28
C4300US3610936061,"New York County, New York","Tompkins County, New York",90,+/-56
C4300US3610936065,"Oneida County, New York","Tompkins County, New York",25,+/-33
C4300US3610936067,"Onondaga County, New York","Tompkins County, New York",185,+/-85
C4300US3610936069,"Ontario County, New York","Tompkins County, New York",125,+/-69
C4300US3610936075,"Oswego County, New York","Tompkins County, New York",4,+/-16
C4300US3610936097,"Schuyler County, New York","Tompkins County, New York",245,+/-104
C4300US3610936099,"Seneca County, New York","Tompkins County, New York",130,+/-73
C4300US3610936101,"Steuben County, New York","Tompkins County, New York",270,+/-229
C4300US3610936105,"Sullivan County, New York","Tompkins County, New York",20,+/-35
C4300US3610936107,"Tioga County, New York","Tompkins County, New York",255,+/-133
C4300US3610936109,"Tompkins County, New York","Tompkins County, New York","46,485","+/-1,248"
C4300US3610936119,"Westchester County, New York","Tompkins County, New York",30,+/-27
C4300US3611134003,"Bergen County, New Jersey","Ulster County, New York",225,+/-111
C4300US3611134005,"Burlington County, New Jersey","Ulster County, New York",4,+/-11
C4300US3611134013,"Essex County, New Jersey","Ulster County, New York",85,+/-83
C4300US3611134015,"Gloucester County, New Jersey","Ulster County, New York",10,+/-15
C4300US3611134017,"Hudson County, New Jersey","Ulster County, New York",115,+/-127
C4300US3611134035,"Somerset County, New Jersey","Ulster County, New York",30,+/-46
C4300US3611134039,"Union County, New Jersey","Ulster County, New York",4,+/-10
C4300US3611136001,"Albany County, New York","Ulster County, New York",570,+/-139
C4300US3611136005,"Bronx County, New York","Ulster County, New York",170,+/-83
C4300US3611136021,"Columbia County, New York","Ulster County, New York",450,+/-162
C4300US3611136025,"Delaware County, New York","Ulster County, New York",90,+/-48
C4300US3611136027,"Dutchess County, New York","Ulster County, New York","9,090",+/-649
C4300US3611136029,"Erie County, New York","Ulster County, New York",35,+/-47
C4300US3611136031,"Essex County, New York","Ulster County, New York",20,+/-24
C4300US3611136039,"Greene County, New York","Ulster County, New York",610,+/-256
C4300US3611136045,"Jefferson County, New York","Ulster County, New York",10,+/-14
C4300US3611136047,"Kings County, New York","Ulster County, New York",435,+/-142
C4300US3611136053,"Madison County, New York","Ulster County, New York",45,+/-44
C4300US3611136059,"Nassau County, New York","Ulster County, New York",55,+/-35
C4300US3611136061,"New York County, New York","Ulster County, New York","1,880",+/-371
C4300US3611136067,"Onondaga County, New York","Ulster County, New York",4,+/-15
C4300US3611136071,"Orange County, New York","Ulster County, New York","9,690",+/-834
C4300US3611136079,"Putnam County, New York","Ulster County, New York",315,+/-152
C4300US3611136081,"Queens County, New York","Ulster County, New York",210,+/-147
C4300US3611136083,"Rensselaer County, New York","Ulster County, New York",115,+/-72
C4300US3611136087,"Rockland County, New York","Ulster County, New York",600,+/-196
C4300US3611136091,"Saratoga County, New York","Ulster County, New York",120,+/-104
C4300US3611136093,"Schenectady County, New York","Ulster County, New York",55,+/-74
C4300US3611136101,"Steuben County, New York","Ulster County, New York",10,+/-13
C4300US3611136103,"Suffolk County, New York","Ulster County, New York",15,+/-18
C4300US3611136105,"Sullivan County, New York","Ulster County, New York",755,+/-195
C4300US3611136111,"Ulster County, New York","Ulster County, New York","58,080","+/-1,534"
C4300US3611136119,"Westchester County, New York","Ulster County, New York","1,025",+/-272
C4300US3611334027,"Morris County, New Jersey","Warren County, New York",10,+/-14
C4300US3611336001,"Albany County, New York","Warren County, New York","1,100",+/-225
C4300US3611336007,"Broome County, New York","Warren County, New York",15,+/-23
C4300US3611336015,"Chemung County, New York","Warren County, New York",4,+/-10
C4300US3611336019,"Clinton County, New York","Warren County, New York",20,+/-32
C4300US3611336031,"Essex County, New York","Warren County, New York",430,+/-105
C4300US3611336033,"Franklin County, New York","Warren County, New York",25,+/-42
C4300US3611336035,"Fulton County, New York","Warren County, New York",60,+/-41
C4300US3611336041,"Hamilton County, New York","Warren County, New York",110,+/-65
C4300US3611336045,"Jefferson County, New York","Warren County, New York",10,+/-15
C4300US3611336047,"Kings County, New York","Warren County, New York",40,+/-41
C4300US3611336057,"Montgomery County, New York","Warren County, New York",30,+/-45
C4300US3611336059,"Nassau County, New York","Warren County, New York",40,+/-31
C4300US3611336061,"New York County, New York","Warren County, New York",105,+/-62
C4300US3611336063,"Niagara County, New York","Warren County, New York",4,+/-9
C4300US3611336065,"Oneida County, New York","Warren County, New York",10,+/-14
C4300US3611336067,"Onondaga County, New York","Warren County, New York",50,+/-57
C4300US3611336071,"Orange County, New York","Warren County, New York",4,+/-30
C4300US3611336081,"Queens County, New York","Warren County, New York",10,+/-13
C4300US3611336083,"Rensselaer County, New York","Warren County, New York",115,+/-62
